timestamp,longitude,latitude,temperature_c,day_low_temperature_c,day_high_temperature_c,pressure_dbar,humidity_percent,salinity_psu
2021-05-10 14:42:00,-76.8901,-45.9629,15.34,0.91,21.73,4698.63,85.64,36.14
2021-12-31 20:38:00,91.4793,-47.98,-0.19,13.03,28.48,9092.73,67.13,35.03
2024-12-09 18:22:00,-26.719,-70.0241,7.52,10.63,32.89,10066.9,69.99,30.34
2019-11-27 10:23:00,54.0571,76.5925,5.6,16.45,31.86,5354.81,80.91,38.91
2019-05-11 21:52:00,179.274,87.1143,11.84,14.28,11.74,834.68,70.85,33.12
2021-02-08 23:43:00,-178.5629,-82.7514,15.48,1.36,12.03,4630.86,67.82,32.66
2022-04-30 20:32:00,125.2638,-10.0115,6.42,15.82,24.94,1993.63,61.87,38.88
2020-04-04 21:43:00,21.1404,-60.1141,0.21,14.44,22.41,3118.46,64.17,36.31
2020-04-19 09:27:00,-45.9965,59.3157,10.87,12.34,17.32,9161.89,82.59,34.01
2021-09-02 14:46:00,162.4729,-63.4719,1.74,8.86,34.4,5888.21,67.79,34.19
2020-07-16 11:54:00,158.0451,-56.9018,3.07,23.78,28.66,9114.51,79.94,35.0
2022-06-21 02:36:00,-158.2043,42.2849,27.88,20.93,27.18,10841.89,85.67,34.7
2020-10-08 20:08:00,70.6039,-73.948,13.38,13.8,14.53,5997.52,70.01,30.79
2022-07-21 03:24:00,37.0845,80.8729,10.83,-1.83,17.1,10034.88,97.98,39.4
2024-08-23 17:57:00,63.9952,41.9686,0.4,9.67,25.13,7518.13,70.27,31.8
2022-09-25 14:59:00,161.4314,85.894,12.65,16.91,29.89,1120.0,66.48,30.75
2023-01-18 11:07:00,176.5576,-9.5227,18.68,1.17,33.28,4596.89,78.28,30.79
2019-02-04 13:16:00,-91.716,-48.3526,10.19,8.98,27.44,7248.34,77.69,36.26
2024-05-09 17:39:00,-74.2394,78.4615,18.86,3.18,20.47,7757.88,94.33,38.8
2021-10-18 05:53:00,84.5329,1.3458,34.96,7.13,27.28,9467.33,61.89,36.78
2022-02-03 03:53:00,72.8241,81.0011,13.26,-1.28,11.73,7010.2,70.9,33.52
2023-02-09 17:25:00,-127.5265,81.6193,18.83,1.42,25.0,991.03,95.16,35.33
2023-04-29 01:09:00,161.3781,53.869,4.81,10.28,32.37,1566.87,90.35,32.64
2024-06-04 03:13:00,110.137,-49.3506,23.49,22.25,25.92,3611.54,60.16,31.08
2021-03-26 14:07:00,-60.6831,-47.8668,-1.59,11.25,10.19,3234.48,81.12,30.9
2022-06-29 07:20:00,28.9617,26.4031,4.79,10.23,27.36,2437.66,69.79,36.88
2019-12-04 14:52:00,80.5949,-4.114,11.52,19.26,28.16,6790.26,99.53,34.22
2021-03-02 12:40:00,137.6821,-15.0217,25.79,5.23,23.53,4726.81,99.34,36.28
2022-03-26 14:44:00,176.1404,-53.2872,24.97,0.57,30.4,7534.88,97.09,36.75
2019-03-06 06:08:00,74.4737,-50.0595,30.66,3.66,15.06,4256.66,60.4,39.57
2022-09-29 00:43:00,30.7073,-24.318,33.78,19.37,20.22,3014.9,96.2,33.57
2023-02-04 10:50:00,164.43,23.6402,5.18,16.28,30.19,6055.18,73.07,31.99
2020-01-27 02:34:00,5.7342,-82.4319,33.16,0.47,25.09,1064.36,85.68,31.29
2020-01-14 04:41:00,-97.9322,-19.598,6.95,16.01,34.86,10875.24,77.97,30.19
2024-09-19 06:08:00,-146.0005,44.5647,20.92,23.15,11.73,7211.93,74.18,31.53
2024-02-07 11:33:00,-122.8933,-14.2137,3.98,-0.79,16.11,1343.79,71.48,36.92
2020-05-17 22:23:00,33.1213,17.446,-1.2,14.64,14.98,6846.49,77.11,34.29
2021-03-15 02:43:00,62.0444,-71.9058,9.67,8.24,34.41,818.75,71.88,38.75
2024-03-10 21:26:00,98.6247,78.9943,6.22,11.53,31.73,5568.49,97.04,30.13
2023-04-20 00:34:00,-71.035,-64.9809,10.64,12.26,13.33,3199.49,77.48,39.31
2023-01-25 02:00:00,-46.6236,26.8374,8.32,18.82,18.85,7708.39,97.79,30.52
2021-10-25 22:13:00,106.8408,-60.0294,2.27,13.04,11.31,5357.79,74.86,39.81
2021-05-20 08:14:00,-127.5469,87.1617,5.72,14.01,25.81,8644.62,70.4,31.04
2021-11-04 09:59:00,129.9026,23.9056,1.25,6.99,18.28,2527.34,92.37,32.07
2023-01-24 18:31:00,-78.2958,3.687,17.62,1.4,16.44,7217.97,80.82,37.24
2020-07-17 03:29:00,-14.3761,62.1835,28.63,16.43,23.08,7566.23,66.51,33.88
2023-08-06 10:28:00,-98.2645,-59.25,19.18,-1.99,29.89,5252.69,97.12,39.34
2021-11-25 12:31:00,-127.8463,-13.5857,10.01,6.88,20.1,9441.36,98.48,31.13
2023-09-19 18:21:00,91.9967,85.9159,29.32,3.89,28.94,1613.12,87.53,37.34
2023-12-25 01:41:00,105.7825,1.2245,3.68,8.49,21.15,8342.55,98.87,35.43
2023-05-17 20:05:00,-62.9604,23.2213,28.57,6.4,15.36,1451.86,86.97,38.58
2021-03-06 11:43:00,144.5907,-77.7381,20.82,17.01,21.16,1725.95,84.93,31.12
2022-09-25 10:57:00,64.3454,-77.0464,5.42,5.03,23.45,2216.36,93.04,39.03
2024-07-31 06:32:00,8.5015,-78.9056,5.7,13.14,21.54,7271.84,62.71,30.36
2022-11-09 19:12:00,125.4989,-1.719,0.18,10.31,16.86,7029.14,77.72,38.82
2023-11-04 02:38:00,135.9823,39.382,30.77,19.63,14.63,4904.75,77.22,39.55
2020-12-10 07:26:00,35.7967,-31.554,25.8,9.56,33.67,3459.11,84.83,30.97
2020-10-10 04:32:00,30.3369,13.5408,32.5,21.32,17.44,6740.49,73.89,33.63
2022-06-11 11:23:00,66.487,13.8686,6.38,-2.0,27.63,1586.08,78.14,38.64
2024-06-21 21:31:00,24.9113,-61.4907,-0.33,14.33,18.52,6915.25,93.98,33.45
2023-06-20 23:40:00,28.4999,45.1617,16.3,-1.74,34.24,131.47,97.92,32.38
2022-02-10 16:57:00,35.3561,8.3334,9.66,17.28,34.71,1589.16,79.36,31.92
2020-07-17 11:38:00,-64.066,-68.3918,13.34,4.34,30.63,7787.19,88.21,36.34
2023-06-25 16:55:00,91.3339,80.5776,15.16,8.26,24.54,9613.67,81.89,31.71
2020-11-29 16:01:00,-51.0439,-45.6246,27.33,8.27,23.55,831.6,94.7,31.41
2020-10-03 21:22:00,53.1615,-15.654,24.53,20.85,18.22,7026.44,70.47,31.55
2023-10-26 00:00:00,81.529,80.0093,26.84,0.76,13.05,680.96,94.54,36.67
2023-07-20 01:52:00,20.4842,-30.1537,6.39,16.01,11.98,9668.67,80.6,38.25
2023-09-04 05:31:00,-96.1636,-56.6863,-0.47,24.49,21.64,4308.31,78.25,38.53
2021-04-15 22:10:00,28.2855,86.8485,30.48,-1.4,34.47,8152.94,98.08,37.64
2019-05-03 16:37:00,114.1723,89.2213,11.82,24.08,16.17,1900.27,72.2,33.37
2019-07-17 21:10:00,-151.1203,33.8076,10.38,-1.5,20.27,9474.85,63.3,30.58
2020-08-31 08:59:00,57.0424,70.9442,25.32,20.71,26.04,4720.87,86.88,36.71
2019-07-06 05:15:00,-140.9978,89.7831,2.49,23.95,18.78,2297.43,70.52,38.26
2023-11-30 19:59:00,53.1723,-63.6573,11.68,24.81,10.09,6296.94,85.67,37.52
2024-05-09 18:25:00,-79.5948,61.5287,14.97,10.4,19.91,3169.77,62.24,38.52
2024-06-09 18:19:00,140.6606,-81.6609,34.53,21.41,30.12,3157.55,82.49,36.07
2023-10-01 19:40:00,-37.4984,25.9547,26.49,1.3,33.6,1260.0,69.49,38.26
2024-05-13 06:17:00,-41.4812,22.3407,29.94,9.49,16.88,2352.87,63.01,35.69
2020-10-02 10:27:00,127.2801,-2.3313,28.37,6.32,33.04,8776.5,62.22,30.18
2024-05-23 22:30:00,166.7305,13.6056,8.58,8.67,31.68,5759.36,98.3,32.35
2023-06-23 06:59:00,-169.6518,-40.0004,4.4,16.95,20.17,3904.34,70.62,35.18
2020-09-15 19:59:00,-3.3427,-88.6812,32.8,0.36,10.12,10223.1,83.27,31.27
2021-05-30 01:00:00,23.7764,-56.1264,0.28,24.95,31.12,8771.26,79.38,36.18
2022-08-20 11:04:00,153.4657,78.1299,19.06,15.15,17.17,3412.99,74.52,30.37
2022-03-29 22:08:00,33.9328,-41.1237,10.43,21.58,28.9,1218.06,81.7,34.24
2023-08-10 15:15:00,27.8748,38.3096,24.76,20.4,24.29,2027.76,82.39,37.15
2022-02-28 19:23:00,86.2409,-8.0807,7.43,18.68,15.54,7426.85,93.49,31.65
2024-10-02 23:32:00,104.7726,86.6128,26.28,-0.94,26.21,6193.73,75.45,35.78
2020-09-19 10:48:00,-11.298,86.1483,14.38,11.94,29.12,10788.55,74.11,35.04
2022-12-14 05:39:00,-122.0111,5.2543,16.97,6.86,21.86,148.43,87.17,37.42
2019-09-11 02:47:00,128.0484,-27.9765,26.49,1.05,28.7,9644.73,74.87,38.31
